district,subdistrict,difference,updated
Chandpur,Khulna,10%,5 days ago
Bandarban,Jessore,54%,3 days ago
Sherpur,Dhaka,60%,4 days ago
Noakhali,Chittagong,11%,3 days ago
Khagrachhari,Chittagong,61%,7 days ago
Comilla,Bhola,24%,7 days ago
Meherpur,Tangail,33%,7 days ago
Brahmanbaria,Khagrachhari,50%,6 days ago
Pabna,Rangamati,34%,5 days ago
Dinajpur,Gazipur,17%,1 days ago
Panchagarh,Bogra,89%,6 days ago
Lakshmipur,Noakhali,79%,2 days ago
Sunamganj,Lalmonirhat,67%,1 days ago
Nilphamari,Tangail,30%,4 days ago
Naogaon,Chandpur,78%,4 days ago
Rajshahi,Mymensingh,15%,5 days ago
Khagrachhari,Rangamati,76%,3 days ago
Madaripur,Gopalganj,63%,3 days ago
Sherpur,Moulvibazar,32%,6 days ago
Munshiganj,Dhaka,73%,5 days ago
